,rank,maxIter,regParam,spark_fit_t,spark_pred_t,spark_precision,spark_recall,spark_RMSE,spark_R2,lk_precision,lk_recall,lk_RMSE,lk_R2,lk_fit_t,lk_pred_t
66,200.0,10.0,1e-05,76.40948939323425,0.052844524383544006,0.907848740734136,0.08905201956198601,0.9624042632297171,0.08690947942346801,0.950044002100584,0.0920277721847532,0.8705449913549761,0.2135713702339731,117.515,9.023
67,200.0,10.0,0.001,147.38281893730164,0.058255195617675004,0.9259785965668311,0.07632801795806901,0.8976849234560481,0.20558649163234,0.9383035715768754,0.1079532486301786,0.9120429724366153,0.1368078625717244,107.932,8.618
68,200.0,10.0,0.01,144.01817893981934,0.05902099609375,0.9316987039464101,0.061997900201153006,0.8871953252311171,0.22404372891849303,0.955207824274491,0.0700483019725238,0.8540410269693722,0.2431072568262561,115.06,8.536
69,200.0,10.0,0.0001,147.21398544311523,0.06172871589660601,0.9016727424622161,0.08683294176836301,0.933633627971675,0.140686312282436,0.9464795567236808,0.0989454445827522,0.8765069083102727,0.2027627912056527,113.102,8.731
70,220.0,10.0,1e-05,98.363112449646,0.059567928314208006,0.905529425271914,0.08712835816984,0.9515475222230041,0.107394161526268,0.9337671131719064,0.1088913907,0.9515238613,0.06045791072,154.281,7.32
71,220.0,10.0,0.001,98.02395677566528,0.05560111999511701,0.92819069069069,0.07874555857420201,0.895660355278296,0.20916576672146603,0.9402598704955358,0.1031506596,0.8817047764,0.1932791898,160.225,7.356
72,220.0,10.0,0.01,189.426194190979,0.065522193908691,0.9331385949441501,0.064092758522416,0.8872331970496121,0.22397748081856902,0.950988716488156,0.08758286236,0.8710380224,0.2126803341,153.255,7.413
73,220.0,10.0,0.0001,191.364408493042,0.053975582122802006,0.911303515378405,0.08551436061845401,0.9246432165560441,0.15715612797893602,0.9371703322703392,0.1099545358,0.9035158271,0.1528732372,157.724,7.518
76,20.0,10.0,0.01,71.09656023979187,0.38341999053955,0.8856998897872591,0.04107074597529,1.064478051388805,-0.11704888642694401,0.9304185993934392,0.0497828277890882,1.0567013842348891,-0.158727797953335,1.019,4.15
77,40.0,10.0,0.001,7.073854446411133,0.096471548080444,0.8747910712030851,0.070060689633998,1.136135458504965,-0.272503502316613,0.9230172356346196,0.077269038621527,1.2375225442738804,-0.5892166697546761,4.117,4.507
