,num_recs,n_trees,search_k,build_time,inference_time,MAP,precisionAt100,recallAt100,ndgcAt100,Custom Precision,Custom Recall
72,100,100,27,0.7597661018371581,0.09491395950317301,0.000499996087439,0.00455737704918,0.00604578604714,0.007273684815638001,0.8408333333333331,0.005926670993569001
73,100,100,46,0.743241071701049,0.09565496444702101,0.00047901468984200003,0.004819672131147,0.00607054017452,0.007337769876717,0.842827004219409,0.005948852758006
74,100,100,77,0.767699241638183,0.10002565383911101,0.000489814899119,0.005081967213114,0.006368654938303001,0.007698592162067,0.8606089743589741,0.006296638159038001
75,100,100,129,0.752063035964965,0.112150907516479,0.00044924518086300006,0.0057704918032780005,0.007307259968226,0.008183572880524001,0.8873949579831931,0.007368275441354001
76,100,100,215,0.749924898147583,0.12762117385864202,0.00042485037546400006,0.005639344262295,0.006937156813066001,0.007786973657859001,0.8797358759384071,0.006960736872648
77,100,100,359,0.757221221923828,0.132926940917968,0.000414551707448,0.005967213114754,0.008186125124712,0.008190445046729,0.8766733943563211,0.007691745718834001
78,100,100,599,0.7047231197357171,0.151625871658325,0.000514287858677,0.006622950819672,0.00936018465392,0.009211147641522002,0.886784110950777,0.009593376315959001
79,100,100,1000,0.7971720695495601,0.17749929428100503,0.000732879914349,0.006360655737704,0.009974203837003,0.009874222071000001,0.8830003330003331,0.010606430131895
80,100,138,10,0.82308030128479,0.19805073738098103,0.000490707660303,0.004688524590163,0.007128396310661001,0.007432219320930001,0.8318070818070811,0.007105752727597001
81,100,138,16,0.877909183502197,0.10853099822998001,0.000497069363825,0.004688524590163,0.007173320648618001,0.007579502235936001,0.8269037572835041,0.0071379908108660005
82,100,138,27,0.8747069835662841,0.11227607727050701,0.0004956121327780001,0.004721311475409,0.007193836919474001,0.007523734928822001,0.8375,0.0071857084028730004
83,100,138,46,0.8691530227661131,0.210351943969726,0.00047115181462800004,0.00455737704918,0.007204406367091001,0.007263502149902,0.8300595238095231,0.007181302282389001
84,100,138,77,0.8702239990234371,0.11896872520446701,0.000503441293132,0.005540983606557,0.008150904397143001,0.008264344851419001,0.8466349541930931,0.008240577008258
85,100,138,129,0.700654983520507,0.160969018936157,0.00041270853907900005,0.0054098360655730005,0.0067557318244880005,0.007605048797678001,0.9056249999999991,0.0069683953998450005
86,100,138,215,0.8972358703613281,0.135230302810668,0.000414733919006,0.0055081967213110004,0.0074935735023700005,0.007740107465375,0.8771604938271601,0.007152528806056001
87,100,138,359,0.865777254104614,0.246189832687377,0.00040606699588300005,0.005967213114754,0.008020074189536,0.008183536372991001,0.8731162196679431,0.007915159711408
88,100,138,599,0.8792288303375241,0.16220402717590302,0.00042893330601800005,0.006098360655737001,0.008427991534603,0.008417241888012001,0.912669386807317,0.008750661895295001
89,100,138,1000,0.9007081985473631,0.19202995300292902,0.0006883229035560001,0.006163934426229,0.00941254176239,0.009480635096117001,0.904245754245754,0.009861487412337
90,100,193,10,1.087881088256836,0.13635826110839802,0.00046689655672600005,0.004655737704918001,0.007131444529529,0.007466195462935,0.8426954732510281,0.007110358808349
91,100,193,16,1.0611820220947261,0.13170099258422802,0.00046902524287,0.004754098360655001,0.007178994068478,0.007525903385963001,0.842576764798986,0.007161211329127001
92,100,193,27,1.0573978424072261,0.130565881729125,0.00047495174909100005,0.004852459016393001,0.0072196592034100004,0.0076834386265550005,0.8503537961369281,0.007219142946571001
93,100,193,46,1.035973072052002,0.127768039703369,0.000433593569925,0.004622950819672,0.007191647014084,0.007324647406458,0.846184738955823,0.007182313683545
94,100,193,77,1.073145866394043,0.13231897354125902,0.00048754354859200006,0.005573770491803001,0.008261424400523,0.008467263192766,0.8609058565955111,0.008429302295958
95,100,193,129,1.010439157485962,0.248991966247558,0.00045025832968500004,0.005803278688524,0.0076824383206920005,0.008270891073394,0.865418956043956,0.007921244163763
96,100,193,215,0.9276301860809321,0.26843023300170904,0.00044250209656700006,0.0058688524590160005,0.007229775171948001,0.008179980506262001,0.8922159090909091,0.007555937299694001
97,100,193,359,1.035734891891479,0.17014694213867101,0.00038884203268600004,0.005934426229508001,0.007517383180119,0.008046387406507,0.89313725490196,0.007799345717726
98,100,193,599,1.045336961746215,0.192388772964477,0.00038213390992900004,0.006131147540983001,0.008018518331919001,0.008240443527369001,0.890691000918273,0.007953428356375001
99,100,193,1000,1.083028793334961,0.24254703521728502,0.00046527297157900006,0.0062295081967210005,0.007973582298594,0.008533744374811001,0.8881489311721871,0.007922791840391
100,100,268,10,1.317774057388305,0.16023302078247,0.000423493405529,0.004721311475409,0.0068013832244120005,0.007234675512468001,0.8703252032520321,0.006881484563386
101,100,268,16,1.233394861221313,0.24855422973632801,0.00043005828165900003,0.004754098360655001,0.006856560579509001,0.007415119472077,0.8640014603870021,0.006922606868782001
102,100,268,27,1.317358016967773,0.152403116226196,0.000425254775927,0.004622950819672,0.006840424299432,0.007187711105349001,0.8701472556894241,0.006923884407766001
103,100,268,46,1.277114152908325,0.164223909378051,0.000429752531335,0.004918032786885,0.0068736746130160006,0.007460156203997001,0.869204089083607,0.006951113809707
104,100,268,77,1.270184993743896,0.159554004669189,0.00045890783516200004,0.0054098360655730005,0.007699006028586,0.007996841090304001,0.871124031007752,0.007851276942368
